,mpg,cylinders,displacement,horsepower,weight,acceleration,vehicle_id
0,18.0,8,307,130,3504,12.0,C-1689780
1,15.0,8,350,165,3693,11.5,B-1689791
2,18.0,8,318,150,3436,11.0,P-1689802
3,16.0,8,304,150,3433,12.0,A-1689813
4,17.0,8,302,140,3449,10.5,F-1689824
5,15.0,8,429,198,4341,10.0,F-1689835
6,14.0,8,454,220,4354,9.0,C-1689846
7,14.0,8,440,215,4312,8.5,P-1689857
8,14.0,8,455,225,4425,10.0,P-1689868
9,15.0,8,390,190,3850,8.5,A-1689879
10,15.0,8,383,170,3563,10.0,D-1689890
11,14.0,8,340,160,3609,8.0,P-1689901
12,15.0,8,400,150,3761,9.5,C-1689912
13,14.0,8,455,225,3086,10.0,B-1689923
14,24.0,4,113,95,2372,15.0,T-1689934
15,22.0,6,198,95,2833,15.5,P-1689945
16,18.0,6,199,97,2774,15.5,A-1689956
17,21.0,6,200,85,2587,16.0,F-1689967
18,27.0,4,97,88,2130,14.5,D-1689978
19,26.0,4,97,46,1835,20.5,V-1689989
20,25.0,4,110,87,2672,17.5,P-1690000
21,24.0,4,107,90,2430,14.5,A-1690011
22,25.0,4,104,95,2375,17.5,S-1690022
23,26.0,4,121,113,2234,12.5,B-1690033
24,21.0,6,199,90,2648,15.0,A-1690044
25,10.0,8,360,215,4615,14.0,F-1690055
26,10.0,8,307,200,4376,15.0,C-1690066
27,11.0,8,318,210,4382,13.5,D-1690077
28,9.0,8,304,193,4732,18.5,H-1690088
29,27.0,4,97,88,2130,14.5,D-1690099
30,28.0,4,140,90,2264,15.5,C-1690110
31,25.0,4,113,95,2228,14.0,T-1690121
32,25.0,4,98,,2046,19.0,F-1690132
33,19.0,6,232,100,2634,13.0,A-1690143
34,16.0,6,225,105,3439,15.5,P-1690154
35,17.0,6,250,100,3329,15.5,C-1690165
36,19.0,6,250,88,3302,15.5,F-1690176
37,18.0,6,232,100,3288,15.5,A-1690187
38,14.0,8,350,165,4209,12.0,C-1690198
39,14.0,8,400,175,4464,11.5,P-1690209
40,14.0,8,351,153,4154,13.5,F-1690220
41,14.0,8,318,150,4096,13.0,P-1690231
42,12.0,8,383,180,4955,11.5,D-1690242
43,13.0,8,400,170,4746,12.0,F-1690253
44,13.0,8,400,175,5140,12.0,P-1690264
45,18.0,6,258,110,2962,13.5,A-1690275
46,22.0,4,140,72,2408,19.0,C-1690286
47,19.0,6,250,100,3282,15.0,P-1690297
48,18.0,6,250,88,3139,14.5,F-1690308
49,23.0,4,122,86,2220,14.0,M-1690319
50,28.0,4,116,90,2123,14.0,O-1690330
51,30.0,4,79,70,2074,19.5,P-1690341
52,30.0,4,88,76,2065,14.5,F-1690352
53,31.0,4,71,65,1773,19.0,T-1690363
54,35.0,4,72,69,1613,18.0,D-1690374
55,27.0,4,97,60,1834,19.0,V-1690385
56,26.0,4,91,70,1955,20.5,P-1690396
57,24.0,4,113,95,2278,15.5,T-1690407
58,25.0,4,98,80,2126,17.0,D-1690418
59,23.0,4,97,54,2254,23.5,V-1690429
60,20.0,4,140,90,2408,19.5,C-1690440
61,21.0,4,122,86,2226,16.5,F-1690451
62,13.0,8,350,165,4274,12.0,C-1690462
63,14.0,8,400,175,4385,12.0,P-1690473
64,15.0,8,318,150,4135,13.5,P-1690484
65,14.0,8,351,153,4129,13.0,F-1690495
66,17.0,8,304,150,3672,11.5,A-1690506
67,11.0,8,429,208,4633,11.0,M-1690517
68,13.0,8,350,155,4502,13.5,B-1690528
69,12.0,8,350,160,4456,13.5,O-1690539
70,13.0,8,400,190,4422,12.5,C-1690550
71,19.0,3,70,97,2330,13.5,M-1690561
72,15.0,8,304,150,3892,12.5,A-1690572
73,13.0,8,307,130,4098,14.0,C-1690583
74,13.0,8,302,140,4294,16.0,F-1690594
75,14.0,8,318,150,4077,14.0,P-1690605
76,18.0,4,121,112,2933,14.5,V-1690616
77,22.0,4,121,76,2511,18.0,V-1690627
78,21.0,4,120,87,2979,19.5,P-1690638
79,26.0,4,96,69,2189,18.0,R-1690649
80,22.0,4,122,86,2395,16.0,F-1690660
81,28.0,4,97,92,2288,17.0,D-1690671
82,23.0,4,120,97,2506,14.5,T-1690682
83,28.0,4,98,80,2164,15.0,D-1690693
84,27.0,4,97,88,2100,16.5,T-1690704
85,13.0,8,350,175,4100,13.0,B-1690715
86,14.0,8,304,150,3672,11.5,A-1690726
87,13.0,8,350,145,3988,13.0,C-1690737
88,14.0,8,302,137,4042,14.5,F-1690748
89,15.0,8,318,150,3777,12.5,D-1690759
90,12.0,8,429,198,4952,11.5,M-1690770
91,13.0,8,400,150,4464,12.0,C-1690781
92,13.0,8,351,158,4363,13.0,F-1690792
93,14.0,8,318,150,4237,14.5,P-1690803
94,13.0,8,440,215,4735,11.0,C-1690814
95,12.0,8,455,225,4951,11.0,B-1690825
96,13.0,8,360,175,3821,11.0,A-1690836
97,18.0,6,225,105,3121,16.5,P-1690847
98,16.0,6,250,100,3278,18.0,C-1690858
99,18.0,6,232,100,2945,16.0,A-1690869
100,18.0,6,250,88,3021,16.5,F-1690880
101,23.0,6,198,95,2904,16.0,P-1690891
102,26.0,4,97,46,1950,21.0,V-1690902
103,11.0,8,400,150,4997,14.0,C-1690913
104,12.0,8,400,167,4906,12.5,F-1690924
105,13.0,8,360,170,4654,13.0,P-1690935
106,12.0,8,350,180,4499,12.5,O-1690946
107,18.0,6,232,100,2789,15.0,A-1690957
108,20.0,4,97,88,2279,19.0,T-1690968
109,21.0,4,140,72,2401,19.5,C-1690979
110,22.0,4,108,94,2379,16.5,D-1690990
111,18.0,3,70,90,2124,13.5,M-1691001
112,19.0,4,122,85,2310,18.5,F-1691012
113,21.0,6,155,107,2472,14.0,M-1691023
114,26.0,4,98,90,2265,15.5,F-1691034
115,15.0,8,350,145,4082,13.0,C-1691045
116,16.0,8,400,230,4278,9.5,P-1691056
117,29.0,4,68,49,1867,19.5,F-1691067
118,24.0,4,116,75,2158,15.5,O-1691078
119,20.0,4,114,91,2582,14.0,A-1691089
120,19.0,4,121,112,2868,15.5,V-1691100
121,15.0,8,318,150,3399,11.0,D-1691111
122,24.0,4,121,110,2660,14.0,S-1691122
123,20.0,6,156,122,2807,13.5,T-1691133
124,11.0,8,350,180,3664,11.0,O-1691144
125,20.0,6,198,95,3102,16.5,P-1691155
126,21.0,6,200,?,2875,17.0,F-1691166
127,19.0,6,232,100,2901,16.0,A-1691177
128,15.0,6,250,100,3336,17.0,C-1691188
129,31.0,4,79,67,1950,19.0,D-1691199
130,26.0,4,122,80,2451,16.5,F-1691210
131,32.0,4,71,65,1836,21.0,T-1691221
132,25.0,4,140,75,2542,17.0,C-1691232
133,16.0,6,250,100,3781,17.0,C-1691243
134,16.0,6,258,110,3632,18.0,A-1691254
135,18.0,6,225,105,3613,16.5,P-1691265
136,16.0,8,302,140,4141,14.0,F-1691276
137,13.0,8,350,150,4699,14.5,B-1691287
138,14.0,8,318,150,4457,13.5,D-1691298
139,14.0,8,302,140,4638,16.0,F-1691309
140,14.0,8,304,150,4257,15.5,A-1691320
141,29.0,4,98,83,2219,16.5,A-1691331
142,26.0,4,79,67,1963,15.5,V-1691342
143,26.0,4,97,78,2300,14.5,O-1691353
144,31.0,4,76,52,1649,16.5,T-1691364
145,32.0,4,83,61,2003,19.0,D-1691375
146,28.0,4,90,75,2125,14.5,D-1691386
147,24.0,4,90,75,2108,15.5,F-1691397
148,26.0,4,116,75,2246,14.0,F-1691408
149,24.0,4,120,97,2489,15.0,H-1691419
150,26.0,4,108,93,2391,15.5,S-1691430
151,31.0,4,79,67,2000,16.0,F-1691441
152,19.0,6,225,95,3264,16.0,P-1691452
153,18.0,6,250,105,3459,16.0,C-1691463
154,15.0,6,250,72,3432,21.0,M-1691474
155,15.0,6,250,72,3158,19.5,F-1691485
156,16.0,8,400,170,4668,11.5,P-1691496
157,15.0,8,350,145,4440,14.0,C-1691507
158,16.0,8,318,150,4498,14.5,P-1691518
159,14.0,8,351,148,4657,13.5,F-1691529
160,17.0,6,231,110,3907,21.0,B-1691540
161,16.0,6,250,105,3897,18.5,C-1691551
162,15.0,6,258,110,3730,19.0,A-1691562
163,18.0,6,225,95,3785,19.0,P-1691573
164,21.0,6,231,110,3039,15.0,B-1691584
165,20.0,8,262,110,3221,13.5,C-1691595
166,13.0,8,302,129,3169,12.0,F-1691606
167,29.0,4,97,75,2171,16.0,T-1691617
168,23.0,4,140,83,2639,17.0,F-1691628
169,20.0,6,232,100,2914,16.0,A-1691639
170,23.0,4,140,78,2592,18.5,P-1691650
171,24.0,4,134,96,2702,13.5,T-1691661
172,25.0,4,90,71,2223,16.5,V-1691672
173,24.0,4,119,97,2545,17.0,D-1691683
174,18.0,6,171,97,2984,14.5,F-1691694
175,29.0,4,90,70,1937,14.0,V-1691705
176,19.0,6,232,90,3211,17.0,A-1691716
177,23.0,4,115,95,2694,15.0,A-1691727
178,23.0,4,120,88,2957,17.0,P-1691738
179,22.0,4,121,98,2945,14.5,V-1691749
180,25.0,4,121,115,2671,13.5,S-1691760
181,33.0,4,91,53,1795,17.5,H-1691771
182,28.0,4,107,86,2464,15.5,F-1691782
183,25.0,4,116,81,2220,16.9,O-1691793
184,25.0,4,140,92,2572,14.9,C-1691804
185,26.0,4,98,79,2255,17.7,D-1691815
186,27.0,4,101,83,2202,15.3,R-1691826
187,17.5,8,305,140,4215,13.0,C-1691837
188,16.0,8,318,150,4190,13.0,D-1691848
189,15.5,8,304,120,3962,13.9,A-1691859
190,14.5,8,351,152,4215,12.8,F-1691870
191,22.0,6,225,100,3233,15.4,P-1691881
192,22.0,6,250,105,3353,14.5,C-1691892
193,24.0,6,200,81,3012,17.6,F-1691903
194,22.5,6,232,90,3085,17.6,A-1691914
195,29.0,4,85,52,2035,22.2,C-1691925
196,24.5,4,98,60,2164,22.1,C-1691936
197,29.0,4,90,70,1937,14.2,V-1691947
198,33.0,4,91,53,1795,17.4,H-1691958
199,20.0,6,225,100,3651,17.7,D-1691969
200,18.0,6,250,78,3574,21.0,F-1691980
201,18.5,6,250,110,3645,16.2,P-1691991
202,17.5,6,258,95,3193,17.8,A-1692002
203,29.5,4,97,71,1825,12.2,V-1692013
204,32.0,4,85,70,1990,17.0,D-1692024
205,28.0,4,97,75,2155,16.4,T-1692035
206,26.5,4,140,72,2565,13.6,F-1692046
207,20.0,4,130,102,3150,15.7,V-1692057
208,13.0,8,318,150,3940,13.2,P-1692068
209,19.0,4,120,88,3270,21.9,P-1692079
210,19.0,6,156,108,2930,15.5,T-1692090
211,16.5,6,168,120,3820,16.7,M-1692101
212,16.5,8,350,180,4380,12.1,C-1692112
213,13.0,8,350,145,4055,12.0,C-1692123
214,13.0,8,302,130,3870,15.0,F-1692134
215,13.0,8,318,150,3755,14.0,D-1692145
216,31.5,4,98,68,2045,18.5,H-1692156
217,30.0,4,111,80,2155,14.8,B-1692167
218,36.0,4,79,58,1825,18.6,R-1692178
219,25.5,4,122,96,2300,15.5,P-1692189
220,33.5,4,85,70,1945,16.8,D-1692200
221,17.5,8,305,145,3880,12.5,C-1692211
222,17.0,8,260,110,4060,19.0,O-1692222
223,15.5,8,318,145,4140,13.7,D-1692233
224,15.0,8,302,130,4295,14.9,M-1692244
225,17.5,6,250,110,3520,16.4,C-1692255
226,20.5,6,231,105,3425,16.9,B-1692266
227,19.0,6,225,100,3630,17.7,P-1692277
228,18.5,6,250,98,3525,19.0,F-1692288
229,16.0,8,400,180,4220,11.1,P-1692299
230,15.5,8,350,170,4165,11.4,C-1692310
231,15.5,8,400,190,4325,12.2,C-1692321
232,16.0,8,351,149,4335,14.5,F-1692332
233,29.0,4,97,78,1940,14.5,V-1692343
234,24.5,4,151,88,2740,16.0,P-1692354
235,26.0,4,97,75,2265,18.2,T-1692365
236,25.5,4,140,89,2755,15.8,F-1692376
237,30.5,4,98,63,2051,17.0,C-1692387
238,33.5,4,98,83,2075,15.9,D-1692398
239,30.0,4,97,67,1985,16.4,S-1692409
240,30.5,4,97,78,2190,14.1,V-1692420
241,22.0,6,146,97,2815,14.5,D-1692431
242,21.5,4,121,110,2600,12.8,B-1692442
243,21.5,3,80,110,2720,13.5,M-1692453
244,43.1,4,90,48,1985,21.5,V-1692464
245,36.1,4,98,66,1800,14.4,F-1692475
246,32.8,4,78,52,1985,19.4,M-1692486
247,39.4,4,85,70,2070,18.6,D-1692497
248,36.1,4,91,60,1800,16.4,H-1692508
249,19.9,8,260,110,3365,15.5,O-1692519
250,19.4,8,318,140,3735,13.2,D-1692530
251,20.2,8,302,139,3570,12.8,M-1692541
252,19.2,6,231,105,3535,19.2,P-1692552
253,20.5,6,200,95,3155,18.2,C-1692563
254,20.2,6,200,85,2965,15.8,F-1692574
255,25.1,4,140,88,2720,15.4,F-1692585
256,20.5,6,225,100,3430,17.2,P-1692596
257,19.4,6,232,90,3210,17.2,A-1692607
258,20.6,6,231,105,3380,15.8,B-1692618
259,20.8,6,200,85,3070,16.7,M-1692629
260,18.6,6,225,110,3620,18.7,D-1692640
261,18.1,6,258,120,3410,15.1,A-1692651
262,19.2,8,305,145,3425,13.2,C-1692662
263,17.7,6,231,165,3445,13.4,B-1692673
264,18.1,8,302,139,3205,11.2,F-1692684
265,17.5,8,318,140,4080,13.7,D-1692695
266,30.0,4,98,68,2155,16.5,C-1692706
267,27.5,4,134,95,2560,14.2,T-1692717
268,27.2,4,119,97,2300,14.7,D-1692728
269,30.9,4,105,75,2230,14.5,D-1692739
270,21.1,4,134,95,2515,14.8,T-1692750
271,23.2,4,156,105,2745,16.7,P-1692761
272,23.8,4,151,85,2855,17.6,O-1692772
273,23.9,4,119,97,2405,14.9,D-1692783
274,20.3,5,131,103,2830,15.9,A-1692794
275,17.0,6,163,125,3140,13.6,V-1692805
276,21.6,4,121,115,2795,15.7,S-1692816
277,16.2,6,163,133,3410,15.8,P-1692827
278,31.5,4,89,71,1990,14.9,V-1692838
279,29.5,4,98,68,2135,16.6,H-1692849
280,21.5,6,231,115,3245,15.4,P-1692860
281,19.8,6,200,85,2990,18.2,M-1692871
282,22.3,4,140,88,2890,17.3,F-1692882
283,20.2,6,232,90,3265,18.2,A-1692893
284,20.6,6,225,110,3360,16.6,D-1692904
285,17.0,8,305,130,3840,15.4,C-1692915
286,17.6,8,302,129,3725,13.4,F-1692926
287,16.5,8,351,138,3955,13.2,M-1692937
288,18.2,8,318,135,3830,15.2,D-1692948
289,16.9,8,350,155,4360,14.9,B-1692959
290,15.5,8,351,142,4054,14.3,F-1692970
291,19.2,8,267,125,3605,15.0,C-1692981
292,18.5,8,360,150,3940,13.0,C-1692992
293,31.9,4,89,71,1925,14.0,V-1693003
294,34.1,4,86,65,1975,15.2,M-1693014
295,35.7,4,98,80,1915,14.4,D-1693025
296,27.4,4,121,80,2670,15.0,A-1693036
297,25.4,5,183,77,3530,20.1,M-1693047
298,23.0,8,350,125,3900,17.4,C-1693058
299,27.2,4,141,71,3190,24.8,P-1693069
300,23.9,8,260,90,3420,22.2,O-1693080
301,34.2,4,105,70,2200,13.2,P-1693091
302,34.5,4,105,70,2150,14.9,P-1693102
303,31.8,4,85,65,2020,19.2,D-1693113
304,37.3,4,91,69,2130,14.7,F-1693124
305,28.4,4,151,90,2670,16.0,B-1693135
306,28.8,6,173,115,2595,11.3,C-1693146
307,26.8,6,173,115,2700,12.9,O-1693157
308,33.5,4,151,90,2556,13.2,P-1693168
309,41.5,4,98,76,2144,14.7,V-1693179
310,38.1,4,89,60,1968,18.8,T-1693190
311,32.1,4,98,70,2120,15.5,C-1693201
312,37.2,4,86,65,2019,16.4,D-1693212
313,28.0,4,151,90,2678,16.5,C-1693223
314,26.4,4,140,88,2870,18.1,F-1693234
315,24.3,4,151,90,3003,20.1,A-1693245
316,19.1,6,225,90,3381,18.7,D-1693256
317,34.3,4,97,78,2188,15.8,A-1693267
318,29.8,4,134,90,2711,15.5,T-1693278
319,31.3,4,120,75,2542,17.5,M-1693289
320,37.0,4,119,92,2434,15.0,D-1693300
321,32.2,4,108,75,2265,15.2,T-1693311
322,46.6,4,86,65,2110,17.9,M-1693322
323,27.9,4,156,105,2800,14.4,D-1693333
324,40.8,4,85,65,2110,19.2,D-1693344
325,44.3,4,90,48,2085,21.7,V-1693355
326,43.4,4,90,48,2335,23.7,V-1693366
327,36.4,5,121,67,2950,19.9,A-1693377
328,30.0,4,146,67,3250,21.8,M-1693388
329,44.6,4,91,67,1850,13.8,H-1693399
330,40.9,4,85,?,1835,17.3,R-1693410
331,33.8,4,97,67,2145,18.0,S-1693421
332,29.8,4,89,62,1845,15.3,V-1693432
333,32.7,6,168,132,2910,11.4,D-1693443
334,23.7,3,70,100,2420,12.5,M-1693454
335,35.0,4,122,88,2500,15.1,T-1693465
336,23.6,4,140,?,2905,14.3,F-1693476
337,32.4,4,107,72,2290,17.0,H-1693487
338,27.2,4,135,84,2490,15.7,P-1693498
339,26.6,4,151,84,2635,16.4,B-1693509
340,25.8,4,156,92,2620,14.4,D-1693520
341,23.5,6,173,110,2725,12.6,C-1693531
342,30.0,4,135,84,2385,12.9,P-1693542
343,39.1,4,79,58,1755,16.9,T-1693553
344,39.0,4,86,64,1875,16.4,P-1693564
345,35.1,4,81,60,1760,16.1,H-1693575
346,32.3,4,97,67,2065,17.8,S-1693586
347,37.0,4,85,65,1975,19.4,D-1693597
348,37.7,4,89,62,2050,17.3,T-1693608
349,34.1,4,91,68,1985,16.0,M-1693619
350,34.7,4,105,63,2215,14.9,P-1693630
351,34.4,4,98,65,2045,16.2,F-1693641
352,29.9,4,98,65,2380,20.7,F-1693652
353,33.0,4,105,74,2190,14.2,V-1693663
354,34.5,4,100,?,2320,15.8,R-1693674
355,33.7,4,107,75,2210,14.4,H-1693685
356,32.4,4,108,75,2350,16.8,T-1693696
357,32.9,4,119,100,2615,14.8,D-1693707
358,31.6,4,120,74,2635,18.3,M-1693718
359,28.1,4,141,80,3230,20.4,P-1693729
360,30.7,6,145,76,3160,19.6,V-1693740
361,25.4,6,168,116,2900,12.6,T-1693751
362,24.2,6,146,120,2930,13.8,D-1693762
363,22.4,6,231,110,3415,15.8,B-1693773
364,26.6,8,350,105,3725,19.0,O-1693784
365,20.2,6,200,88,3060,17.1,F-1693795
366,17.6,6,225,85,3465,16.6,C-1693806
367,28.0,4,112,88,2605,19.6,C-1693817
368,27.0,4,112,88,2640,18.6,C-1693828
369,34.0,4,112,88,2395,18.0,C-1693839
370,31.0,4,112,85,2575,16.2,P-1693850
371,29.0,4,135,84,2525,16.0,D-1693861
372,27.0,4,151,90,2735,18.0,P-1693872
373,24.0,4,140,92,2865,16.4,F-1693883
374,23.0,4,151,?,3035,20.5,A-1693894
375,36.0,4,105,74,1980,15.3,V-1693905
376,37.0,4,91,68,2025,18.2,M-1693916
377,31.0,4,91,68,1970,17.6,M-1693927
378,38.0,4,105,63,2125,14.7,P-1693938
379,36.0,4,98,70,2125,17.3,M-1693949
380,36.0,4,120,88,2160,14.5,N-1693960
381,36.0,4,107,75,2205,14.5,H-1693971
382,34.0,4,108,70,2245,16.9,T-1693982
383,38.0,4,91,67,1965,15.0,H-1693993
384,32.0,4,91,67,1965,15.7,H-1694004
385,38.0,4,91,67,1995,16.2,D-1694015
386,25.0,6,181,110,2945,16.4,B-1694026
387,38.0,6,262,85,3015,17.0,O-1694037
388,26.0,4,156,92,2585,14.5,C-1694048
389,22.0,6,232,112,2835,14.7,F-1694059
390,32.0,4,144,96,2665,13.9,T-1694070
391,36.0,4,135,84,2370,13.0,D-1694081
392,27.0,4,151,90,2950,17.3,C-1694092
393,27.0,4,140,86,2790,15.6,F-1694103
394,44.0,4,97,52,2130,24.6,V-1694114
395,32.0,4,135,84,2295,11.6,D-1694125
396,28.0,4,120,79,2625,18.6,F-1694136
397,31.0,4,119,82,2720,19.4,C-1694147
